id,pe,obstime,name,wfo,lat,lon,prod_id,1in,2in,4in,6in,8in,12in,20in,24in,40in,50in,60in,Date Range,Shallowest,ShallowestDepth
NSUK1,TB,2023-11-02 15:00:00,NESS CITY,DDC,38.386119,-99.855547,KKRFMESO,0,45,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,45,2
OAWK1,TB,2023-11-02 14:00:00,OTTAWA,TOP,38.53914,-95.2481,KKRFMESO,0,45,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,45,2
OBRK1,TB,2023-11-02 15:00:00,OBERLIN MESO,GLD,39.8981,-100.4413,KKRFMESO,0,39,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,39,2
OCMS2,TB,2023-11-02 13:00:00,OACOMA,ABR,43.793888888889,-99.412777777778,KKRFEDIT,0,0,36,0,0,0,46,0,0,0,0,2023/10/30-2023/11/02,36,4
OILM8,TB,2023-11-02 13:00:00,MT MESONET MDA OILMONT,TFX,48.7815,-111.601,KKRFEDIT,0,32,25,0,36,0,42,0,48,0,0,2023/10/30-2023/11/02,32,2
OKNN8,TB,2023-11-02 13:00:00,OAKES ,BIS,46.0666666666667,-98.1027777777778,KKRFEDIT,0,38,40,0,42,0,47,0,51,0,0,2023/10/30-2023/11/02,38,2
OLZK1,TB,2023-11-02 14:00:00,OTTAWA,TOP,38.88303,-94.9911,KKRFMESO,0,42,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,42,2
ONMS2,TB,2023-11-02 13:00:00,ONIDA UMRB,RIW,44.65,-100.32,KKRFEDIT,0,0,0,0,38,0,45,0,52,0,0,2023/10/30-2023/11/02,38,8
OSKK1,TB,2023-11-02 15:00:00,OSKALOOSA MESO,TOP,39.2058,-95.3084,KKRFMESO,0,43,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,43,2
OSMW4,TB,2023-11-02 13:00:00,OSAGE,UNR,43.9937,-104.3791,KKRFEDIT,0,32,34,0,38,0,45,0,52,0,0,2023/10/30-2023/11/02,32,2
OSNK1,TB,2023-11-02 15:00:00,OSBORNE,GID,39.45438,-98.70348,KKRFMESO,0,46,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,46,2
OTRM8,TB,2023-11-02 13:00:00,OTTER,BYZ,45.24692,-105.9845,KKRFEDIT,0,34,35,0,38,0,44,0,50,0,0,2023/10/30-2023/11/02,34,2
PKJN8,TB,2023-11-02 13:00:00,POKER JIM,BIS,47.5025,-103.6559,KKRFEDIT,0,35,36,0,38,0,44,0,52,0,0,2023/10/30-2023/11/02,35,2
PLMW4,TB,2023-11-02 13:00:00,POWELL WY,RIW,44.7764,-108.759,KKRFEDIT,0,35,36,0,39,0,43,0,50,0,0,2023/10/30-2023/11/02,35,2
PMSK1,TB,2023-11-02 15:00:00,OVERBROOK,TOP,38.69704,-95.60859,KKRFMESO,0,46,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,46,2
POLK1,TB,2023-11-02 14:00:00,MIAMI,EAX,38.59228,-94.84786,KKRFMESO,0,49,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,49,2
PVMS2,TB,2023-11-02 13:00:00,PROVO SD,RIW,43.04,-103.8,KKRFEDIT,0,0,0,0,0,0,0,0,54,0,0,2023/10/30-2023/11/02,54,40
RADM8,TB,2023-11-02 12:00:00,MT MESONET CONRAD S,TFX,48.0609,-112.0076,KKRFEDIT,0,50,35,0,38,0,43,0,0,0,0,2023/10/30-2023/11/02,50,2
RAMS2,TB,2023-11-02 13:00:00,LODGEPOLE UMRB,RIW,45.91,-102.92,KKRFEDIT,0,0,0,0,37,0,0,0,50,0,0,2023/10/30-2023/11/02,37,8
RAPM8,TB,2023-11-02 13:00:00,RAPLEJE,BYZ,45.88584,-109.42109,KKRFEDIT,0,35,36,0,38,0,44,0,49,0,0,2023/10/30-2023/11/02,35,2
RAYN8,TB,2023-11-02 13:00:00,RAY,BIS,48.4009,-103.1692,KKRFEDIT,0,36,36,0,39,0,44,0,48,0,0,2023/10/30-2023/11/02,36,2
RBMS2,TB,2023-11-02 13:00:00,ROSEBUD,UNR,43.2002,-100.7208,KKRFEDIT,0,36,37,0,0,0,0,0,52,0,0,2023/10/30-2023/11/02,36,2
RGTM8,TB,2023-11-02 13:00:00,RYEGATE,BYZ,46.19946,-109.31114,KKRFEDIT,0,36,37,0,38,0,43,0,49,0,0,2023/10/30-2023/11/02,36,2
RKFK1,TB,2023-11-02 14:00:00,ROCKY FORD,TOP,39.23164,-96.58049,KKRFMESO,0,43,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,43,2
RKSK1,TB,2023-11-02 15:00:00,ROCK SPRINGS,TOP,38.866853,-96.902869,KKRFMESO,0,44,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,44,2
RMYM8,TB,2023-11-02 13:00:00,ROTHIEMAY,BYZ,46.5351,-109.3477,KKRFEDIT,0,34,36,0,40,0,46,0,51,0,0,2023/10/30-2023/11/02,34,2
ROBN8,TB,2023-11-02 13:00:00,ROBINSON,BIS,47.173055555556,-99.798055555556,KKRFEDIT,0,36,38,0,39,0,45,0,50,0,0,2023/10/30-2023/11/02,36,2
ROUM8,TB,2023-11-02 13:00:00,MT MESONET ROUNDUP,TFX,46.5784,-108.4243,KKRFEDIT,0,34,36,0,39,0,44,0,51,0,0,2023/10/30-2023/11/02,34,2
RSTM8,TB,2023-11-02 13:00:00,REDSTONE,GGW,48.8245,-104.8417,KKRFEDIT,0,34,35,0,36,0,43,0,49,0,0,2023/10/30-2023/11/02,34,2
RSVK1,TB,2023-11-02 14:00:00,ROSSVILLE,TOP,39.11638,-95.92598,KKRFMESO,0,43,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,43,2
RYOM8,TB,2023-11-02 13:00:00,ROY E,TFX,47.37909,-108.67782,KKRFEDIT,0,36,37,0,39,0,46,0,52,0,0,2023/10/30-2023/11/02,36,2
SASM8,TB,2023-11-02 13:00:00,SACO,GGW,48.29082,-107.39124,KKRFEDIT,0,35,36,0,39,0,45,0,51,0,0,2023/10/30-2023/11/02,35,2
SCAK1,TB,2023-11-02 15:00:00,SCANDIA,TOP,39.82864,-97.83894,KKRFMESO,0,41,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,41,2
SCYM8,TB,2023-11-02 13:00:00,SCOBEY,GGW,48.8602,-105.49718,KKRFEDIT,0,31,32,0,35,0,42,0,50,0,0,2023/10/30-2023/11/02,31,2
SDSM8,TB,2023-11-02 13:00:00,SAND SPRINGS,GGW,47.1653,-107.63839,KKRFEDIT,0,35,36,0,38,0,44,0,50,0,0,2023/10/30-2023/11/02,35,2
SEEN8,TB,2023-11-02 13:00:00,STEELE,BIS,46.894,-99.9927,KKRFEDIT,0,37,38,0,39,0,44,0,49,0,0,2023/10/30-2023/11/02,37,2
SFSS2,TB,2023-11-02 13:00:00,SIOUX FALLS,FSD,43.5048,-96.762,KKRFEDIT,0,35,38,0,41,0,46,0,52,0,0,2023/10/30-2023/11/02,35,2
SHMW4,TB,2023-11-02 13:00:00,SHERIDAN,BYZ,44.8408,-106.839,KKRFEDIT,0,39,0,0,44,0,49,0,53,0,0,2023/10/30-2023/11/02,39,2
SIYM8,TB,2023-11-02 13:00:00,MT MESONET SIDNEY,TFX,47.7822,-104.2478,KKRFEDIT,0,32,34,0,36,0,45,0,51,0,0,2023/10/30-2023/11/02,32,2
SLBN8,TB,2023-11-02 13:00:00,SENTINEL BUTTE ,BIS,47.0669,-103.7933,KKRFEDIT,0,35,36,0,38,0,44,0,49,0,0,2023/10/30-2023/11/02,35,2
SLKK1,TB,2023-11-02 15:00:00,SILVER LAKE,TOP,39.07788,-95.77059,KKRFMESO,0,41,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,41,2
SPKM7,TB,2023-11-02 13:00:00,SPICKARD,EAX,40.247222222222,-93.715833333333,KEAXRR3EAX,0,46,0,0,51,0,62,0,60,0,0,2023/10/30-2023/11/02,46,2
STMS2,TB,2023-11-02 13:00:00,STURGIS,UNR,44.4245,-103.3792,KKRFEDIT,0,36,37,0,40,0,45,0,51,0,0,2023/10/30-2023/11/02,36,2
STRN8,TB,2023-11-02 13:00:00,STREETER,BIS,46.715,-99.449,KKRFEDIT,0,38,40,0,41,0,46,0,49,0,0,2023/10/30-2023/11/02,38,2
SURM8,TB,2023-11-02 13:00:00,SUN RIVER,TFX,47.41178,-111.71725,KKRFEDIT,0,39,39,0,40,0,45,0,52,0,0,2023/10/30-2023/11/02,39,2
TIMS2,TB,2023-11-02 13:00:00,TIMBER LAKE,ABR,45.4168,-101.0841,KKRFEDIT,0,38,38,0,40,0,45,0,51,0,0,2023/10/30-2023/11/02,38,2
TNEK1,TB,2023-11-02 15:00:00,TRIBUNE,GLD,38.53041,-101.66434,KKRFMESO,0,47,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,47,2
TRNM8,TB,2023-11-02 13:00:00,TURNER,TFX,48.87426,-108.39366,KKRFEDIT,0,34,36,0,38,0,43,0,48,0,0,2023/10/30-2023/11/02,34,2
TTNM8,TB,2023-11-02 13:00:00,MT MESONET TOSTON,TFX,46.1364,-111.5431,KKRFEDIT,0,34,35,0,60,0,46,0,52,0,0,2023/10/30-2023/11/02,34,2
TURN8,TB,2023-11-02 13:00:00,TURTLE LAKE,BIS,47.568055555556,-100.915,KKRFEDIT,0,36,36,0,36,0,42,0,49,0,0,2023/10/30-2023/11/02,36,2
TWOM8,TB,2023-11-02 13:00:00,TWODOT,BYZ,46.44675,-110.20549,KKRFEDIT,0,36,37,0,39,0,43,0,48,0,0,2023/10/30-2023/11/02,36,2
UMCM7,TB,2023-11-01 12:00:00,COLUMBIA,LSX,38.9422222222222,-92.32,KLSXRR3LSX,0,47,45,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,47,2
UNIS2,TB,2023-11-02 13:00:00,UNION CENTER,UNR,44.564444444444,-102.67472222222,KKRFEDIT,0,36,37,0,39,0,46,0,52,0,0,2023/10/30-2023/11/02,36,2
UPMW4,TB,2023-11-02 13:00:00,UPTON,UNR,43.9643,-104.6375,KKRFEDIT,0,31,33,0,36,0,42,0,49,0,0,2023/10/30-2023/11/02,31,2
VGAS2,TB,2023-11-02 13:00:00,VOLGA,FSD,44.3042,-96.9184,KKRFEDIT,0,35,37,0,39,0,45,0,51,0,0,2023/10/30-2023/11/02,35,2
VLTM8,TB,2023-11-02 13:00:00,VALENTINE,GGW,47.35797,-108.24377,KKRFEDIT,0,35,45,0,36,0,38,0,48,0,0,2023/10/30-2023/11/02,35,2
WIEM8,TB,2023-11-02 13:00:00,WINNETT,GGW,46.96536,-108.50241,KKRFEDIT,0,35,36,0,38,0,45,0,46,0,0,2023/10/30-2023/11/02,35,2
WISN8,TB,2023-11-02 13:00:00,WISHEK,BIS,46.266944444444,-99.66,KKRFEDIT,0,39,40,0,43,0,45,0,50,0,0,2023/10/30-2023/11/02,39,2
WKUK1,TB,2023-11-02 15:00:00,WAKEENEY MESO,DDC,39.0228,-99.8669,KKRFMESO,0,47,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,47,2
WLLN8,TB,2023-11-02 13:00:00,WILLISTON,BIS,48.133,-103.7386,KKRFEDIT,0,34,36,0,38,0,42,0,49,0,0,2023/10/30-2023/11/02,34,2
WMNK1,TB,2023-11-02 15:00:00,WASHINGTON,TOP,39.782293,-97.054804,KKRFMESO,0,46,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,46,2
WRHM8,TB,2023-11-02 13:00:00,WAR HORSE,GGW,47.14725,-108.59132,KKRFEDIT,0,38,37,0,39,0,44,0,51,0,0,2023/10/30-2023/11/02,38,2
WRIS2,TB,2023-11-02 13:00:00,WHITE RIVER,FSD,43.55,-100.73,KKRFEDIT,0,38,40,0,43,0,47,0,52,0,0,2023/10/30-2023/11/02,38,2
WRMW4,TB,2023-11-02 13:00:00,WORLAND,RIW,44.0026,-107.905,KKRFEDIT,0,33,34,0,37,0,43,0,48,0,0,2023/10/30-2023/11/02,33,2
WTES2,TB,2023-11-02 13:00:00,WHITE LAKE,FSD,43.7321,-98.6938,KKRFEDIT,0,39,40,0,43,0,48,0,54,0,0,2023/10/30-2023/11/02,39,2
YACK1,TB,2023-11-02 15:00:00,WOODSON,ICT,37.8612,-95.7836,KKRFMESO,0,50,0,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,50,2
ZELN8,TB,2023-11-02 13:00:00,ZEELAND,BIS,46.0135,-99.6876,KKRFEDIT,0,40,40,0,43,0,46,0,50,0,0,2023/10/30-2023/11/02,40,2
ARPC2,TV,2023-11-02 14:00:00,KREMMLING,BOU,40.351,-106.3814,KWBCRSDCO,0,29,0,0,32,0,35,0,0,0,0,2023/10/30-2023/11/02,29,2
BKLW4,TV,2023-11-02 13:00:00,CENTENNIAL,CYS,41.3588,-106.2321,KWBCRSDWY,0,29,31,0,32,0,59,0,37,0,0,2023/10/30-2023/11/02,29,2
BLHW4,TV,2023-11-02 13:00:00,ENCAMPMENT,RIW,41.0562,-106.7138,KWBCRSDWY,0,33,0,0,34,0,35,0,0,0,0,2023/10/30-2023/11/02,33,2
BRKN8,TV,2023-11-02 12:00:00,BISMARCK,BIS,46.771666666667,-100.75916666667,KBISRR3BIS,0,32,32,0,35,0,41,0,47,0,0,2023/10/30-2023/11/02,32,2
BRMC2,TV,2023-11-02 14:00:00,TWIN LAKES,GJT,39.0877,-106.5517,KWBCRSDCO,0,35,0,0,32,0,36,0,0,0,0,2023/10/30-2023/11/02,35,2
BSDW4,TV,2023-11-02 13:00:00,SHELL,RIW,44.678888888889,-107.58111111111,KWBCRSDWY,0,0,81,0,81,0,7,0,7,0,0,2023/10/30-2023/11/02,81,4
BTSC2,TV,2023-11-02 14:00:00,BERTHOUD SUMMIT,BOU,39.8039,-105.7779,KWBCRSDCO,0,32,33,0,35,0,37,0,0,0,0,2023/10/30-2023/11/02,32,2
