"station","lat","lon","elev","depth","t.lm","t.rf","t.rflm"
"USC00204655",43.0608,-83.3075,249.9,50,11.0096319119072,10.7165670752168,11.0426790993569
"USC00204967",44.42,-84.0233,276.8,0,7.54645441090552,6.72441780560955,6.66455172812884
"USC00204967",44.42,-84.0233,276.8,10,9.900336899353,9.27584672521168,9.21822895202044
"USC00204967",44.42,-84.0233,276.8,50,9.66893807086326,9.04414075862233,9.00420912575047
"USC00205065",44.2114,-86.2939,204.2,0,8.47536750258814,8.68594775471068,8.78178811760659
"USC00205065",44.2114,-86.2939,204.2,10,10.8292499910356,10.4302565617053,11.1245563858508
"USC00205065",44.2114,-86.2939,204.2,50,10.5978511625459,10.3173746963948,10.8881816255907
"USC00205097",44.855,-85.8353,243.5,0,7.57440410589364,8.11801769832387,8.05605876362629
"USC00205097",44.855,-85.8353,243.5,10,9.92828659434112,10.2191928312143,10.4490215079538
"USC00205097",44.855,-85.8353,243.5,50,9.69688776585138,10.1139754446366,10.1928596323047
"USC00205567",43.4611,-86.4178,198.1,0,9.21725206634957,8.7670531555682,8.7448399195206
"USC00205567",43.4611,-86.4178,198.1,10,11.571134554797,11.1760866647603,11.2639460772322
"USC00205567",43.4611,-86.4178,198.1,50,11.3397357263073,10.9550084225258,11.0233465335924
"USC00205662",43.5858,-84.7694,242.3,0,8.62337948134814,8.94093322507708,9.03358169519503
"USC00205662",43.5858,-84.7694,242.3,10,10.9772619697956,10.8773685369194,11.4179184046557
"USC00205662",43.5858,-84.7694,242.3,50,10.7458631413059,10.5238859184372,11.2064408613426
"USC00206184",45.4108,-84.2233,227.1,0,6.98857729948294,7.30651963310955,7.31838442718081
"USC00206184",45.4108,-84.2233,227.1,10,9.34245978793042,9.19404192703988,9.65352290318951
"USC00206184",45.4108,-84.2233,227.1,50,9.11106095944067,9.06783799166832,9.40096571953365
"USC00206300",43.0161,-84.18,222.5,0,9.20832748628728,9.08528301935074,9.05270254960672
"USC00206300",43.0161,-84.18,222.5,10,11.5622099747348,11.0333520918132,11.4434287053387
"USC00206300",43.0161,-84.18,222.5,50,11.330811146245,10.8533496810483,11.2405170953946
"USC00206507",45.3725,-84.9767,182.6,0,7.40283074721783,7.30818966071739,7.27054440825493
"USC00206507",45.3725,-84.9767,182.6,10,9.75671323566531,9.17610605638524,9.7062301449967
"USC00206507",45.3725,-84.9767,182.6,50,9.52531440717557,9.07796958473396,9.48425372777777
"USC00206658",42.6389,-83.2556,271.3,0,9.12694933658216,9.86028414326837,9.87308387919765
"USC00206658",42.6389,-83.2556,271.3,10,11.4808318250296,11.3463002121272,12.0813332678112
"USC00206658",42.6389,-83.2556,271.3,50,11.2494329965399,11.2255676203627,11.8495927115313
"USC00207277",45.6911,-85.5464,204.8,0,7.02992902715649,7.08849153438645,7.07001907720959
"USC00207277",45.6911,-85.5464,204.8,10,9.38381151560397,9.23464190955834,9.40252476285618
"USC00207277",45.6911,-85.5464,204.8,50,9.15241268711423,9.17743846217621,9.16846478991345
"USC00207820",44.0125,-83.8978,187.5,0,8.4933686452677,7.81880250727418,7.85508027661271
"USC00207820",44.0125,-83.8978,187.5,10,10.8472511337152,9.76978952053696,10.2661021373609
"USC00207820",44.0125,-83.8978,187.5,50,10.6158523052254,9.66971662249083,10.0532526577787
"USC00208417",45.1703,-84.4397,275.8,0,6.91313830152985,5.86659547672064,5.77580062928857
