"station","lat","lon","elev","t2010.rf","t1990.rf","dt.open.rf","dt.forest.rf","t1990","t2010","dt.open","dt.forest","soilopen1990","soilopen2010","soilforest1990","soilforest2010"
"charlevoix",45.2547,-85.3196,240,7.52143224902639,7.06500579715667,2.12276215810971,1.5581308331412,NA,NA,2.06260315913558,1.63862866923511,9.12760895629225,9.58403540816197,8.70363446639178,9.1600609182615
"charlotte",42.6509,-84.916,285,8.82040475650751,8.29288888250789,1.57993517572911,0.910047770794937,NA,NA,1.12390405247558,0.439512255232296,9.41679293498347,9.94430880898308,8.73240113774018,9.2599170117398
"clarksville",42.8733,-85.2604,273,8.7720524844962,8.37516022057595,1.60261567841093,0.964080695987519,NA,NA,0.89930442418931,0.592615335575143,9.27446464476526,9.67135690868551,8.96777555615109,9.36466782007134
"conklin",43.1187,-85.8284,250,8.67898214898784,8.35510407414719,1.91347447249088,1.21825899685667,NA,NA,1.7835224170113,1.09562608751551,10.1386264911585,10.4625045659991,9.4507301616627,9.77460823650335
"constantine",41.8243,-85.6591,254,9.08530196370875,8.73811994738333,1.88785659108739,1.09991930730327,NA,NA,1.72816092882189,0.833797342994194,10.4662808762052,10.8134628925306,9.57191729037752,9.91909930670294
"deerfield",41.8626,-83.7979,208,8.93582892884504,8.58921990056766,1.87303132397189,1.12980538175093,NA,NA,1.85385450444318,0.929003142947192,10.4430744050108,10.7896834332882,9.51822304351485,9.86483207179223
"eastleland",45.0301,-85.6743,257,7.60505021321853,7.1490819183748,2.1075859148212,1.4300641361219,NA,NA,2.01744590211042,1.52609301782767,9.16652782048522,9.62249611532895,8.67517493620246,9.1311432310462
"eastport",45.1081,-85.3247,228,7.53376457982623,7.02379845980144,2.15590396203487,1.51549510452984,NA,NA,2.11148550735157,1.55053893856274,9.13528396715301,9.6452500871778,8.57433739836418,9.08430351838897
"elbridge",43.6793,-86.1893,276,8.09821275733088,7.86235760965973,2.11127214094935,1.19164809023222,NA,NA,2.29304458211958,1.30196311044134,10.1554021917793,10.3912573394505,9.16432072010107,9.40017586777222
"elkrapids",44.8448,-85.4062,198,7.55306476209074,7.04309772827575,2.25801356304692,1.38036615796759,NA,NA,2.21615679051565,1.31637411281408,9.2592545187914,9.76922155260639,8.35947184108983,8.86943887490481
"emmett",42.9915,-82.76,240,9.18538174061978,8.81135553062964,1.81842124588436,1.13855504796931,NA,NA,1.80899754323914,1.13744977574254,10.6203530738688,10.9943792838589,9.94880530637218,10.3228315163623
"entrican",43.3541,-85.1791,290,8.50183673174101,8.10950573704283,1.72651286869803,1.05231661248347,NA,NA,1.83261302305332,1.17225033582894,9.94211876009615,10.3344497547943,9.28175607287178,9.67408706756996
"fennville",42.5951,-86.1561,214,8.85825509797464,8.45554454055427,2.12698769498493,1.37209877361094,NA,NA,2.20165242922199,1.4621309988271,10.6571969697763,11.0599075271966,9.91767553938137,10.3203860968017
"freeland",43.5631,-84.0233,182,8.29750325190148,8.03578972935492,1.82744937373917,1.02389926408127,NA,NA,1.54410589794163,0.758499899073794,9.57989562729655,9.84160914984311,8.79428962842872,9.05600315097528
"fremont",43.4225,-85.9551,233,8.47903722174758,8.23370868362084,2.02673783532378,1.32049360991691,NA,NA,2.24027430827786,1.58925031472451,10.4739829918987,10.7193115300254,9.82295899834535,10.0682875364721
"gaylord",45.0315,-84.8481,434,6.57988047452348,6.27923596954029,2.23593586813248,1.54742722937094,NA,NA,2.34469146378219,1.87733357305716,8.62392743332248,8.92457193830568,8.15656954259745,8.45721404758064
"grant",43.3232,-85.8484,241,8.48181854755653,8.22186160105834,1.95349414290938,1.25898472697967,NA,NA,2.01634172011176,1.39344666436521,10.2382033211701,10.4981602676683,9.61530826542356,9.87526521192175
"hart",43.7366,-86.3594,233,8.17211221919727,7.96376674446899,2.20516596393789,1.32117487207145,NA,NA,2.28278977278823,1.28586227263503,10.2465565172572,10.4549019919855,9.24962901710401,9.45797449183229
"haslett",42.7703,-84.3297,281,8.68007295910171,8.16394107903108,1.61725822767065,0.913174389525188,NA,NA,1.67408483865218,0.815905385271458,9.83802591768326,10.3541577977539,8.97984646430254,9.49597834437317
"hastings",42.535,-85.3019,283,9.06095018151475,8.55068918966647,1.72353482117521,0.990040480809495,NA,NA,1.70343559688864,0.97634072716024,10.2541247865551,10.7643857784034,9.52702991682671,10.037290908675
"hawks",45.2994,-83.8528,252,7.30113676488131,6.92702373697844,2.24045130562294,1.63401153886035,NA,NA,2.56902152065895,2.21689568687767,9.49604525763739,9.87015828554026,9.14391942385611,9.51803245175897
"ithaca",43.3154,-84.4884,218,8.3485230596441,8.14713266518664,1.76653237041896,1.01851520030526,NA,NA,1.44220942577255,0.764038230806115,9.58934209095919,9.79073248541665,8.91117089599276,9.11256129045022
