"station","lat","lon","elev","t2022","t1990","t2010","dt1990","dt2010","dt1990.rf","dt2010.rf","wts"
"USC00206184",45.4108,-84.2233,227.1,7.39082651417553,6.97403004612326,7.53076601157062,-0.416796468052272,0.13993949739509,-0.929237309814775,-0.593248479123398,1
"USC00206300",43.0161,-84.18,222.5,9.41559705790142,8.44833296061513,8.54475174820642,-0.967264097286289,-0.870845309694998,-1.1120839711272,-0.864965563631522,1
"USC00206507",45.3725,-84.9767,182.6,7.49351440991671,7.10172312516095,7.11938049209747,-0.39179128475576,-0.374133917819232,-0.965628450670165,-0.622869572189718,1
"USC00206658",42.6389,-83.2556,271.3,10.2174319287063,9.15102958225691,9.50892972081905,-1.06640234644944,-0.708502207887294,-1.21089592390844,-0.829845222364135,1
"USC00207277",45.6911,-85.5464,204.8,7.35531936478392,6.23810425826743,6.70184224481489,-1.1172151065165,-0.653477119969037,-1.06156008447386,-0.659923318327223,1
"USC00207820",44.0125,-83.8978,187.5,8.38659886710859,7.06011489863131,7.27628599147252,-1.32648396847728,-1.11031287563607,-1.20547961089033,-0.887484100049487,1
"USC00208417",45.1703,-84.4397,275.8,6.17788721493,5.041264295858,5.50296898400196,-1.136622919072,-0.674918230928037,-1.00647659532051,-0.632377703367066,1
"USC00208443",43.3656,-83.5828,192,8.83278190059371,7.87464495529006,8.13459036164854,-0.958136945303656,-0.698191538945174,-1.22492162128032,-0.91888872683241,1
"USC00208800",44.2542,-84.2011,269.7,7.66800136892539,6.73952851592007,6.97416386258214,-0.928472853005319,-0.69383750634325,-1.03058505952315,-0.725661036558836,1
"USW00014814",45.0606,-83.4281,179.8,7.7523613963039,6.7150493720401,7.08718648394944,-1.0373120242638,-0.665174912354463,-1.1308232768638,-0.728877736032481,1
"USW00014817",44.2656,-85.3967,394.7,7.48711633981342,5.92851187515354,6.52913112162205,-1.55860446465989,-0.957985218191371,-1.04235900375472,-0.630012816485154,25
"USW00014822",42.4072,-83.0089,189.9,11.6546759089724,10.1532108016026,10.544884643122,-1.5014651073698,-1.10979126585045,-1.35354792934639,-0.950323633076348,1
"USW00014826",42.9669,-83.75,234.7,10.0901779603012,8.40872501597152,8.82931915670348,-1.68145294432964,-1.26085880359769,-1.17631713023533,-0.883105263797934,1
"USW00014828",43.9758,-84.4908,236.2,8.2152934096111,7.37020357246671,7.66645711741175,-0.845089837144386,-0.548836292199343,-1.00250467698537,-0.751504309352657,1
"USW00014833",42.2636,-84.4564,296,9.9473571348509,8.91766867221671,9.14495269748701,-1.02968846263419,-0.802404437363885,-1.21538572584738,-0.867291228793694,1
"USW00014836",42.7761,-84.5997,261.2,10.2712469119674,8.31995071643698,8.67982568221228,-1.95129619553037,-1.59142122975507,-1.14262158419975,-0.857919648970041,1
"USW00014840",43.1711,-86.2369,190.2,10.4825119780972,8.48559368440267,8.91844482978918,-1.99691829369453,-1.56406714830802,-1.29979930476122,-0.96297414045589,1
"USW00014841",45.5644,-84.7928,215.2,6.93138807901712,5.55216365571695,6.13500567451772,-1.37922442330017,-0.796382404499401,-0.9743891061225,-0.636644938654452,1
"USW00014845",43.5281,-84.0814,201.8,9.80718685831622,8.21686593045542,8.54229716163183,-1.59032092786081,-1.26488969668439,-1.16402496079074,-0.869463565421563,1
"USW00014850",44.7389,-85.5678,185.3,9.24452570058053,7.08376687260601,7.8103983218442,-2.16075882797451,-1.43412737873633,-1.2303622589688,-0.840028214019283,1
"USW00014853",42.2367,-83.5264,215.8,11.5922013693796,9.02430372690004,9.34564570049616,-2.56789764247953,-2.24655566888342,-1.37665133636386,-1.00691872303581,1
"USW00094814",44.3592,-84.6739,350.5,7.52750820980604,6.23998168457265,6.75264214657297,-1.2875265252334,-0.774866063233078,-0.979849304346908,-0.695322702873303,1
"USW00094847",42.2311,-83.3311,192,11.1733744010951,9.26867299443278,10.0734005658483,-1.90470140666236,-1.09997383524682,-1.44392762121245,-1.04559978467067,1
"USW00094849",45.0717,-83.5644,208.2,7.685318275154,5.9999178607283,6.57510267408962,-1.6854004144257,-1.11021560106438,-1.15785501257286,-0.758317065781851,1
"USW00094860",42.8939,-85.545,266.7,10.1108829568789,8.62369364487754,9.14377566852241,-1.48718931200131,-0.967107288356445,-1.2315143618136,-0.81156958899289,1
