"station","lat","lon","elev","depth","forest","t.rf","t.best","t"
"USC00204655",43.0608,-83.3075,249.9,0,"open",8.3434398771012,8.40257379390877,8.4255689866843
"USC00204655",43.0608,-83.3075,249.9,10,"forest",9.61477387775961,9.61477387775961,NA
"USC00204655",43.0608,-83.3075,249.9,10,"open",9.75632118427944,9.75632118427944,NA
"USC00204655",43.0608,-83.3075,249.9,50,"forest",9.73224076885364,9.73224076885364,NA
"USC00204655",43.0608,-83.3075,249.9,50,"open",9.88138305741868,9.88138305741868,NA
"USC00204967",44.42,-84.0233,276.8,0,"open",6.0609136812762,6.0234765872546,6.15512624330528
"USC00204967",44.42,-84.0233,276.8,10,"forest",7.87820836438081,7.87820836438081,NA
"USC00204967",44.42,-84.0233,276.8,10,"open",7.97967563629343,7.97967563629343,NA
"USC00204967",44.42,-84.0233,276.8,50,"forest",7.95008683998274,7.95008683998274,NA
"USC00204967",44.42,-84.0233,276.8,50,"open",8.07835578841628,8.07835578841628,NA
"USC00205065",44.2114,-86.2939,204.2,0,"open",8.13994295220744,8.23110549935,8.21107041703291
"USC00205065",44.2114,-86.2939,204.2,10,"forest",9.40958577203724,9.40958577203724,NA
"USC00205065",44.2114,-86.2939,204.2,10,"open",9.76272541055627,9.76272541055627,NA
"USC00205065",44.2114,-86.2939,204.2,50,"forest",9.4525703370227,9.4525703370227,NA
"USC00205065",44.2114,-86.2939,204.2,50,"open",9.82420882050281,9.82420882050281,NA
"USC00205097",44.855,-85.8353,243.5,0,"open",7.53897136520037,7.60360603575979,7.60042039846463
"USC00205097",44.855,-85.8353,243.5,10,"forest",9.202637303769,9.202637303769,NA
"USC00205097",44.855,-85.8353,243.5,10,"open",9.58032493082355,9.58032493082355,NA
"USC00205097",44.855,-85.8353,243.5,50,"forest",9.22920273175248,9.22920273175248,NA
"USC00205097",44.855,-85.8353,243.5,50,"open",9.6006338532668,9.6006338532668,NA
"USC00205567",43.4611,-86.4178,198.1,0,"open",8.07208435831076,8.04043383226566,8.13867119301649
"USC00205567",43.4611,-86.4178,198.1,10,"forest",9.6128092473818,9.6128092473818,NA
"USC00205567",43.4611,-86.4178,198.1,10,"open",9.79078387127676,9.79078387127676,NA
"USC00205567",43.4611,-86.4178,198.1,50,"forest",9.7441293541889,9.7441293541889,NA
"USC00205567",43.4611,-86.4178,198.1,50,"open",9.92977712943935,9.92977712943935,NA
"USC00205662",43.5858,-84.7694,242.3,0,"open",8.16960327083517,8.14668932025314,8.1496918767507
"USC00205662",43.5858,-84.7694,242.3,10,"forest",9.55850136409997,9.55850136409997,NA
"USC00205662",43.5858,-84.7694,242.3,10,"open",9.75219628303475,9.75219628303475,NA
"USC00205662",43.5858,-84.7694,242.3,50,"forest",9.57845257357159,9.57845257357159,NA
"USC00205662",43.5858,-84.7694,242.3,50,"open",9.77199412333633,9.77199412333633,NA
"USC00206184",45.4108,-84.2233,227.1,0,"open",6.93746366926671,6.97566402083964,6.98294262217601
"USC00206184",45.4108,-84.2233,227.1,10,"forest",8.33334908465921,8.33334908465921,NA
"USC00206184",45.4108,-84.2233,227.1,10,"open",8.3871021602281,8.3871021602281,NA
"USC00206184",45.4108,-84.2233,227.1,50,"forest",8.41670498373774,8.41670498373774,NA
"USC00206184",45.4108,-84.2233,227.1,50,"open",8.48201166155084,8.48201166155084,NA
"USC00206300",43.0161,-84.18,222.5,0,"open",8.39124677688068,8.44693377143282,8.45539832285115
"USC00206300",43.0161,-84.18,222.5,10,"forest",9.71147715501805,9.71147715501805,NA
"USC00206300",43.0161,-84.18,222.5,10,"open",9.85227689421918,9.85227689421918,NA
"USC00206300",43.0161,-84.18,222.5,50,"forest",9.81096231954477,9.81096231954477,NA
"USC00206300",43.0161,-84.18,222.5,50,"open",9.96347449882918,9.96347449882918,NA
"USC00206507",45.3725,-84.9767,182.6,0,"open",6.96803758382735,7.10203777002881,7.02895363229553
"USC00206507",45.3725,-84.9767,182.6,10,"forest",8.37734242081993,8.37734242081993,NA
"USC00206507",45.3725,-84.9767,182.6,10,"open",8.47137678249912,8.47137678249912,NA
"USC00206507",45.3725,-84.9767,182.6,50,"forest",8.42112651634399,8.42112651634399,NA
"USC00206507",45.3725,-84.9767,182.6,50,"open",8.50947410534104,8.50947410534104,NA
"USC00206658",42.6389,-83.2556,271.3,0,"open",9.12997325783612,9.15117832612272,9.07993824315605
"USC00206658",42.6389,-83.2556,271.3,10,"forest",10.3094848295778,10.3094848295778,NA
"USC00206658",42.6389,-83.2556,271.3,10,"open",10.4348157367899,10.4348157367899,NA
"USC00206658",42.6389,-83.2556,271.3,50,"forest",10.3209422431773,10.3209422431773,NA
"USC00206658",42.6389,-83.2556,271.3,50,"open",10.4540718149081,10.4540718149081,NA
"USC00207277",45.6911,-85.5464,204.8,0,"open",6.31373280521654,6.23697728611997,6.0861989324574
"USC00207277",45.6911,-85.5464,204.8,10,"forest",8.05266149041638,8.05266149041638,NA
"USC00207277",45.6911,-85.5464,204.8,10,"open",8.11435260943807,8.11435260943807,NA
"USC00207277",45.6911,-85.5464,204.8,50,"forest",8.15973428923262,8.15973428923262,NA
"USC00207277",45.6911,-85.5464,204.8,50,"open",8.24482093629681,8.24482093629681,NA
"USC00207820",44.0125,-83.8978,187.5,0,"open",7.06116862335486,7.06219968835526,7.21827242524917
"USC00207820",44.0125,-83.8978,187.5,10,"forest",8.65432350444156,8.65432350444156,NA
"USC00207820",44.0125,-83.8978,187.5,10,"open",8.84460890179055,8.84460890179055,NA
"USC00207820",44.0125,-83.8978,187.5,50,"forest",8.81506642526744,8.81506642526744,NA
"USC00207820",44.0125,-83.8978,187.5,50,"open",9.03180672664196,9.03180672664196,NA
"USC00208417",45.1703,-84.4397,275.8,0,"open",5.12485080043965,5.03863873035387,4.99419486581097
"USC00208417",45.1703,-84.4397,275.8,10,"forest",7.28973249711335,7.28973249711335,NA
"USC00208417",45.1703,-84.4397,275.8,10,"open",7.32979646306065,7.32979646306065,NA
"USC00208417",45.1703,-84.4397,275.8,50,"forest",7.3834801743435,7.3834801743435,NA
"USC00208417",45.1703,-84.4397,275.8,50,"open",7.44106220204742,7.44106220204742,NA
"USC00208443",43.3656,-83.5828,192,0,"open",7.89658913497344,7.88305371267874,3.7271823681936
