"station","lat","lon","elev","t0112","p0112","depth","forest","t.2022","t.2010","t.1990","d2010","d1990","d1990.rf","d2010.rf","d1990.best","d2010.best","t.50","t50.1990","t50.2010"
"arlene",44.3966,-85.2935,403,6.32958316802979,834.330017089844,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.3,-0.6,-0.3,9.8,9.2,9.5
"belding",43.1125,-85.3122,257,8.40166664123535,900.77001953125,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.4,-0.6,-0.4,10.9,10.3,10.5
"benona",43.6304,-86.4931,256,8.31124973297119,902.289978027344,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.4,-0.6,-0.4,11,10.4,10.7
"benzonia",44.5593,-86.1172,253,7.62541675567627,867.160034179688,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,10.8,10.1,10.4
"berriensprings",41.9352,-86.3797,228,9.68000030517578,996.539978027344,NA,NA,NA,NA,NA,NA,NA,-1,-0.7,-1,-0.7,12.2,11.2,11.5
"cassopolis",41.953,-85.9902,290,9.85791683197021,999.280029296875,NA,NA,NA,NA,NA,NA,NA,-1,-0.7,-1,-0.7,12.6,11.6,11.9
"charlevoix",45.2547,-85.3196,240,7.16791677474976,814.630004882812,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.3,-0.7,-0.3,9.9,9.2,9.6
"charlotte",42.6509,-84.916,285,8.63749980926514,875.059997558594,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.5,-0.8,-0.5,10.8,10,10.3
"clarksville",42.8733,-85.2604,273,8.81124973297119,917.380004882812,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.5,-0.8,-0.5,10.8,10,10.3
"conklin",43.1187,-85.8284,250,8.51541709899902,931.450012207031,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,11.4,10.7,10.9
"constantine",41.8243,-85.6591,254,9.45041656494141,980.469970703125,NA,NA,NA,NA,NA,NA,NA,-1,-0.6,-1,-0.6,12,11,11.4
"deerfield",41.8626,-83.7979,208,9.40416717529297,882.849975585938,NA,NA,NA,NA,NA,NA,NA,-1,-0.6,-1,-0.6,12.3,11.3,11.7
"eastleland",45.0301,-85.6743,257,7.74541664123535,824.22998046875,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.3,-0.7,-0.3,9.9,9.2,9.6
"eastport",45.1081,-85.3247,228,7.6029167175293,807.669982910156,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.3,-0.7,-0.3,10.3,9.6,9.9
"elbridge",43.6793,-86.1893,276,7.61166667938232,890.669982910156,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,10.8,10.1,10.4
"elkrapids",44.8448,-85.4062,198,7.58249998092651,803.890014648438,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.4,-0.8,-0.4,10.4,9.6,10.1
"emmett",42.9915,-82.76,240,8.39624977111816,832.830017089844,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.4,-0.6,-0.4,11,10.3,10.6
"entrican",43.3541,-85.1791,290,8.06083297729492,876.349975585938,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,10.6,9.9,10.2
"fennville",42.5951,-86.1561,214,9.24583339691162,924.210021972656,NA,NA,NA,NA,NA,NA,NA,-0.9,-0.5,-0.9,-0.5,12.1,11.2,11.5
"freeland",43.5631,-84.0233,182,8.58500003814697,802.840026855469,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.5,-0.8,-0.5,10.6,9.8,10.1
"fremont",43.4225,-85.9551,233,7.93499994277954,898.529968261719,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.4,-0.6,-0.4,11.4,10.7,11
